co_municipio,rede,ano,ideb,rend,meta,nm,port,mat,aprov
1100015,Estadual,2005,3.5,0.76119,,4.615669,228.8,248.1,75.9
1100015,Estadual,2007,3.3,0.673651,3.5,4.837,236.32,253.9,67.4
1100015,Estadual,2009,3.2,0.72851,3.7,4.438833,230.04,236.29,72.1
1100015,Estadual,2011,3.3,0.793934,4.0,4.172667,218.71,231.65,79.1
1100015,Estadual,2013,3.9,0.803192,4.4,4.84,240.99,249.41,82.2
1100015,Estadual,2015,4.2,0.856521,4.8,4.959333,246.72,250.84,86.0
1100015,Estadual,2017,5.1,0.955572,5.0,5.323667,260.87,258.55,95.4
1100015,Estadual,2019,5.4,0.954601,5.3,5.699333,268.37,273.59,95.2
1100015,Estadual,2021,4.8,0.944584,5.5,5.096833,254.76,251.05,94.6
1100015,Estadual,2023,4.9,0.955774,,5.1265,249.46,258.13,95.6
1100015,Estadual,2025,5.1,0.974197,,5.202833,253.34,258.83,97.5
1100015,Municipal,2005,3.2,0.778453,,4.150667,214.3,234.7,77.6
1100015,Municipal,2007,,,3.3,,,,
1100015,Municipal,2009,,0.814543,3.4,,,,81.2
1100015,Municipal,2011,,,3.7,,,,
1100015,Municipal,2013,,,4.1,,,,
1100015,Municipal,2015,,0.850879,4.5,,,,85.4
1100015,Municipal,2017,4.3,0.822642,4.7,5.253667,257.14,258.08,81.9
1100015,Municipal,2019,4.6,0.888055,5.0,5.133667,252.15,255.87,88.9
1100015,Municipal,2021,4.7,0.961179,5.3,4.8855,250.21,242.92,96.1
1100015,Municipal,2023,4.0,0.875571,,4.533333,233.56,238.44,87.6
1100015,Pública,2005,3.5,0.768449,,4.5545,226.9,246.3,76.7
1100015,Pública,2007,3.5,0.726595,3.5,4.837,236.32,253.9,72.3
1100015,Pública,2009,3.4,0.76532,3.7,4.438833,230.04,236.29,76.0
1100015,Pública,2011,3.3,0.801959,4.0,4.172667,218.71,231.65,79.9
1100015,Pública,2013,3.9,0.797331,4.4,4.84,240.99,249.41,81.9
1100015,Pública,2015,4.3,0.857241,4.7,4.959333,246.72,250.84,85.8
1100015,Pública,2017,4.8,0.912684,5.0,5.306167,259.94,258.43,91.0
1100015,Pública,2019,5.2,0.933872,5.3,5.585333,265.1,270.02,93.2
1100015,Pública,2021,4.8,0.948958,5.5,5.0615,254.0,249.69,95.1
1100015,Pública,2023,4.7,0.931733,,5.005333,246.21,254.11,93.2
1100015,Pública,2025,5.0,0.963716,,5.202833,253.34,258.83,96.5
1100023,Estadual,2005,3.6,0.78989,,4.616892,231.6,245.4,79.2
1100023,Estadual,2007,3.1,0.734842,3.7,4.175333,218.31,232.21,73.9
1100023,Estadual,2009,3.6,0.784853,3.8,4.588167,235.99,239.3,78.6
1100023,Estadual,2011,3.9,0.817499,4.1,4.804667,240.16,248.12,81.8
1100023,Estadual,2013,4.3,0.858199,4.5,5.029667,248.74,253.04,85.8
1100023,Estadual,2015,4.3,0.804741,4.9,5.295333,259.6,258.12,80.4
1100023,Estadual,2017,5.0,0.922381,5.1,5.435833,264.42,261.73,92.3
1100023,Estadual,2019,5.1,0.921108,5.4,5.559667,266.19,267.39,92.0
1100023,Estadual,2021,5.1,0.979197,5.6,5.193667,256.06,255.56,97.8
1100023,Estadual,2023,4.8,0.945972,,5.079333,252.21,252.55,94.4
1100023,Estadual,2025,4.9,0.975729,,5.029667,250.08,251.7,97.5
1100023,Municipal,2005,3.3,0.787832,,4.168667,219.7,230.4,77.6
1100023,Municipal,2007,3.3,0.792939,3.3,4.1705,220.29,229.94,78.3
1100023,Municipal,2009,3.5,0.790851,3.5,4.398833,230.59,233.34,78.1
1100023,Municipal,2011,3.9,0.844623,3.7,4.658167,238.23,241.26,83.8
1100023,Municipal,2013,4.0,0.815092,4.1,4.861333,244.83,246.85,80.6
1100023,Municipal,2015,4.6,0.87954,4.5,5.174833,254.6,255.89,84.9
1100023,Municipal,2017,4.7,0.886563,4.8,5.267833,259.61,256.46,87.5
1100023,Municipal,2019,4.4,0.887481,5.0,4.991833,251.95,247.56,89.2
1100023,Municipal,2021,4.8,0.944684,5.3,5.058333,248.17,255.33,95.0
1100023,Municipal,2023,4.4,0.921178,,4.729833,246.46,237.33,91.9
1100023,Municipal,2025,4.5,0.940616,,4.821333,243.39,245.89,94.8
1100023,Pública,2005,3.5,0.785208,,4.449833,227.2,239.8,78.3
1100023,Pública,2007,3.2,0.762201,3.5,4.173833,218.93,231.5,76.2
1100023,Pública,2009,3.5,0.785778,3.7,4.516333,233.94,237.04,78.4
1100023,Pública,2011,4.0,0.830992,3.9,4.7575,239.54,245.91,82.8
