co_municipio,rede,ano,ideb,rend,meta,nm,port,mat,aprov
1100015,Estadual,2005,3.5,0.759273,,4.608665,168.6,187.6,77.2
1100015,Estadual,2007,3.9,0.831133,3.6,4.676173,168.7,190.99,84.9
1100015,Estadual,2009,4.3,0.851565,3.9,5.072804,178.78,202.17,85.2
1100015,Estadual,2011,4.2,0.844744,4.3,4.94166,173.11,200.7,83.8
1100015,Estadual,2013,5.3,0.881346,4.6,6.021685,206.04,225.92,87.7
1100015,Estadual,2015,5.8,0.928693,4.9,6.225738,211.49,231.42,92.6
1100015,Estadual,2017,6.2,0.916698,5.2,6.765243,230.95,241.15,91.3
1100015,Estadual,2019,5.8,0.931602,5.5,6.246496,210.48,233.47,90.9
1100015,Estadual,2021,4.6,0.885271,5.7,5.220067,188.16,200.95,85.9
1100015,Estadual,2023,5.9,0.889528,,6.664813,222.33,244.1,90.0
1100015,Municipal,2015,5.0,0.96617,,5.158943,177.01,208.37,97.8
1100015,Municipal,2017,5.1,0.954655,5.3,5.324057,190.93,203.76,96.6
1100015,Municipal,2019,4.7,0.940604,5.5,4.992906,180.19,196.64,96.6
1100015,Municipal,2021,4.8,0.979422,5.8,4.930077,181.93,191.69,97.8
1100015,Municipal,2023,5.1,0.925403,,5.530502,200.92,205.06,93.4
1100015,Municipal,2025,5.7,0.986809,,5.763133,197.75,220.27,98.7
1100015,Pública,2005,3.7,0.805224,,4.608679,168.6,187.6,80.9
1100015,Pública,2007,4.0,0.844908,3.8,4.676173,168.7,190.99,85.1
1100015,Pública,2009,4.5,0.885815,4.1,5.072804,178.78,202.17,89.2
1100015,Pública,2011,4.3,0.867427,4.5,4.94166,173.11,200.7,87.0
1100015,Pública,2013,5.4,0.893131,4.8,6.021685,206.04,225.92,89.2
1100015,Pública,2015,5.8,0.951985,5.1,6.122635,208.16,229.19,95.4
1100015,Pública,2017,6.2,0.949535,5.4,6.479649,223.02,233.74,94.3
1100015,Pública,2019,5.7,0.949637,5.7,6.007245,204.7,226.44,94.6
1100015,Pública,2021,4.8,0.96828,5.9,4.97613,182.92,193.16,96.4
1100015,Pública,2023,5.3,0.922921,,5.716085,204.42,211.45,93.0
1100015,Pública,2025,5.7,0.986194,,5.763133,197.75,220.27,98.7
1100023,Estadual,2005,4.0,0.869197,,4.603968,174.4,181.8,87.1
1100023,Estadual,2007,4.3,0.893966,4.1,4.855139,177.63,191.86,88.3
1100023,Estadual,2009,4.9,0.913059,4.4,5.31295,186.53,207.37,90.8
1100023,Estadual,2011,4.9,0.891572,4.8,5.497973,191.92,211.93,88.8
1100023,Estadual,2013,5.2,0.947549,5.1,5.519408,195.66,209.49,93.7
1100023,Estadual,2015,5.6,0.931485,5.4,6.015963,211.96,219.98,92.1
1100023,Estadual,2017,6.0,0.931178,5.6,6.459352,223.73,232.0,92.2
1100023,Estadual,2019,5.3,0.876642,5.9,6.074639,211.65,223.35,87.7
1100023,Estadual,2021,5.8,0.998328,6.2,5.843387,206.1,216.52,99.8
1100023,Estadual,2023,6.1,1.0,,6.132162,210.08,227.86,100.0
