co_municipio,rede,ano,ideb,rend,meta,nm,port,mat,aprov
1100015,Estadual,2017,3.9,0.885253,,4.379528,260.96,269.38,88.1
1100015,Estadual,2019,4.5,0.923238,4.1,4.863751,278.52,285.14,92.2
1100015,Estadual,2021,3.9,0.892286,4.3,4.326666,266.52,259.69,89.1
1100015,Estadual,2023,4.5,0.978445,,4.644526,273.68,274.69,97.4
1100015,Estadual,2025,4.5,0.984492,,4.533641,271.63,268.98,98.5
1100015,Pública,2017,3.9,0.885253,,4.379528,260.96,269.38,88.1
1100015,Pública,2019,4.5,0.923238,4.1,4.863751,278.52,285.14,92.2
1100015,Pública,2021,3.9,0.892286,4.3,4.326666,266.52,259.69,89.1
1100015,Pública,2023,4.5,0.978445,,4.644526,273.68,274.69,97.4
1100015,Pública,2025,4.5,0.984492,,4.533641,271.63,268.98,98.5
1100023,Estadual,2017,3.8,0.838216,,4.47829,267.82,269.1,82.6
1100023,Estadual,2019,3.9,0.820377,4.0,4.72569,277.61,276.28,81.4
1100023,Estadual,2021,4.1,0.919431,4.2,4.437153,269.05,264.86,91.8
1100023,Estadual,2023,4.1,0.909918,,4.531334,271.11,269.37,90.9
1100023,Estadual,2025,4.2,0.899064,,4.668281,279.47,270.21,89.9
1100023,Federal,2019,,0.942236,,,,,93.8
1100023,Federal,2023,,0.937048,,,,,93.2
1100023,Federal,2025,,0.962041,,,,,96.1
1100023,Pública,2017,3.8,0.847368,,4.49116,268.22,269.59,84.7
1100023,Pública,2019,4.0,0.840548,4.0,4.775508,278.78,278.58,83.4
1100023,Pública,2021,3.9,0.881091,4.2,4.437153,269.05,264.86,88.0
1100023,Pública,2023,4.2,0.913555,,4.620059,274.56,272.01,91.2
1100023,Pública,2025,4.2,0.907182,,4.676475,279.37,270.9,90.7
1100031,Estadual,2017,3.7,0.957734,,3.862733,239.01,255.98,94.9
1100031,Estadual,2019,,0.940859,3.9,,,,94.8
1100031,Estadual,2021,4.1,0.968855,4.1,4.283235,257.68,266.02,96.8
1100031,Estadual,2023,4.1,0.980316,,4.212595,256.32,262.44,98.1
1100031,Estadual,2025,4.0,0.994949,,4.055052,255.15,252.47,99.5
1100031,Pública,2017,3.7,0.957734,,3.862733,239.01,255.98,94.9
1100031,Pública,2019,,0.940859,3.9,,,,94.8
1100031,Pública,2021,4.1,0.968855,4.1,4.283235,257.68,266.02,96.8
1100031,Pública,2023,4.1,0.980316,,4.212595,256.32,262.44,98.1
1100031,Pública,2025,4.0,0.994949,,4.055052,255.15,252.47,99.5
1100049,Estadual,2017,3.7,0.895612,,4.162433,254.93,260.35,89.1
1100049,Estadual,2019,4.1,0.901947,3.9,4.585335,269.97,274.43,90.0
1100049,Estadual,2021,4.2,0.930565,4.2,4.508396,270.91,267.95,93.1
1100049,Estadual,2023,3.9,0.91931,,4.273656,260.23,262.62,91.9
1100049,Estadual,2025,4.1,0.939857,,4.346318,264.99,262.72,94.2
1100049,Federal,2017,5.1,0.980341,,5.181467,288.41,297.22,97.4
1100049,Federal,2019,5.9,0.987136,5.3,5.995301,318.09,323.53,98.6
1100049,Federal,2021,,,5.5,,,,
1100049,Federal,2023,5.4,0.978608,,5.48844,305.36,301.01,97.8
1100049,Federal,2025,,0.970305,,,,,97.0
1100049,Pública,2017,3.9,0.907607,,4.250359,257.82,263.53,90.2
1100049,Pública,2019,4.4,0.917103,4.1,4.831159,278.36,282.99,91.5
1100049,Pública,2021,4.2,0.934564,4.3,4.508396,270.91,267.95,93.5
1100049,Pública,2023,4.2,0.929303,,4.507969,268.93,270.03,92.9
1100049,Pública,2025,4.2,0.94413,,4.479933,269.9,267.0,94.6
1100056,Estadual,2017,3.8,0.80401,,4.698697,274.09,278.11,80.2
1100056,Estadual,2019,4.6,0.91611,4.0,4.986536,283.11,288.99,90.7
1100056,Estadual,2021,,0.828626,4.2,,,,83.3
1100056,Estadual,2023,4.1,0.888075,,4.635988,275.23,272.43,87.8
1100056,Estadual,2025,3.8,0.900571,,4.273472,265.8,256.67,90.0
1100056,Pública,2017,3.8,0.80401,,4.698697,274.09,278.11,80.2
1100056,Pública,2019,4.6,0.91611,4.0,4.986536,283.11,288.99,90.7
1100056,Pública,2021,,0.828626,4.2,,,,83.3
1100056,Pública,2023,4.1,0.888075,,4.635988,275.23,272.43,87.8
1100056,Pública,2025,3.8,0.900571,,4.273472,265.8,256.67,90.0
1100064,Estadual,2017,4.0,0.900182,,4.392628,260.09,271.24,90.2
1100064,Estadual,2019,4.6,0.961291,4.2,4.752361,279.72,275.93,95.8
1100064,Estadual,2021,4.2,0.973701,4.4,4.333472,261.58,265.44,97.5
1100064,Estadual,2023,4.3,0.9652,,4.421829,267.06,265.89,96.6
1100064,Estadual,2025,4.4,0.95911,,4.572585,275.62,267.5,96.0
1100064,Federal,2017,4.7,0.912202,,5.180494,287.51,298.11,92.0
1100064,Federal,2019,4.8,0.933367,4.9,5.123903,283.27,298.6,93.8
1100064,Federal,2021,,,5.1,,,,
1100064,Federal,2023,5.1,0.982759,,5.239822,298.2,290.94,98.0
1100064,Federal,2025,4.8,0.954368,,5.066988,294.62,282.45,95.4
1100064,Pública,2017,4.3,0.910146,,4.775746,273.42,284.31,91.1
1100064,Pública,2019,4.7,0.942146,4.6,5.001042,282.09,291.11,94.7
1100064,Pública,2021,,0.935753,4.8,,,,93.4
1100064,Pública,2023,4.7,0.975512,,4.868454,284.06,279.57,97.3
1100064,Pública,2025,4.6,0.95681,,4.803693,284.5,274.49,95.7
1100072,Estadual,2017,3.9,0.975691,,3.952002,246.54,254.31,97.4
1100072,Estadual,2019,4.6,0.974886,4.1,4.763824,271.16,285.87,97.1
1100072,Estadual,2021,4.4,0.947236,4.3,4.59686,274.23,270.71,95.2
1100072,Estadual,2023,4.1,0.98319,,4.126838,256.99,255.62,98.2
1100072,Estadual,2025,4.3,0.995968,,4.305597,270.01,254.47,99.5
1100072,Pública,2017,3.9,0.975691,,3.952002,246.54,254.31,97.4
1100072,Pública,2019,4.6,0.974886,4.1,4.763824,271.16,285.87,97.1
1100072,Pública,2021,4.4,0.947236,4.3,4.59686,274.23,270.71,95.2
1100072,Pública,2023,4.1,0.98319,,4.126838,256.99,255.62,98.2
1100072,Pública,2025,4.3,0.995968,,4.305597,270.01,254.47,99.5
1100080,Estadual,2017,3.8,0.905247,,4.239498,261.11,259.25,89.0
1100080,Estadual,2019,4.3,0.96233,4.1,4.476682,264.26,272.78,96.1
1100080,Estadual,2021,3.9,0.85816,4.3,4.586992,274.19,270.05,85.5
1100080,Estadual,2023,4.1,0.967926,,4.23764,257.28,263.2,96.7
1100080,Estadual,2025,4.4,0.96285,,4.53642,270.08,270.83,96.4
1100080,Pública,2017,3.8,0.905247,,4.239498,261.11,259.25,89.0
1100080,Pública,2019,4.3,0.96233,4.1,4.476682,264.26,272.78,96.1
1100080,Pública,2021,3.9,0.85816,4.3,4.586992,274.19,270.05,85.5
1100080,Pública,2023,4.1,0.967926,,4.23764,257.28,263.2,96.7
1100080,Pública,2025,4.4,0.96285,,4.53642,270.08,270.83,96.4
1100098,Estadual,2017,4.1,0.862894,,4.784977,275.2,283.07,85.9
1100098,Estadual,2019,4.5,0.956741,4.3,4.749738,276.43,279.25,95.3
1100098,Estadual,2021,4.3,1.0,4.6,4.331223,262.64,264.15,100.0
1100098,Estadual,2023,4.4,0.966336,,4.54361,269.35,272.12,96.6
1100098,Estadual,2025,3.4,0.800499,,4.230852,258.14,261.8,80.2
1100098,Pública,2017,4.1,0.862894,,4.784977,275.2,283.07,85.9
1100098,Pública,2019,4.5,0.956741,4.3,4.749738,276.43,279.25,95.3
1100098,Pública,2021,4.3,1.0,4.6,4.331223,262.64,264.15,100.0
1100098,Pública,2023,4.4,0.966336,,4.54361,269.35,272.12,96.6
1100098,Pública,2025,3.4,0.800499,,4.230852,258.14,261.8,80.2
1100106,Estadual,2017,3.1,0.771365,,4.029858,254.94,250.9,77.3
1100106,Estadual,2019,3.7,0.886894,3.3,4.225704,260.47,258.95,86.9
1100106,Estadual,2021,3.4,0.827924,3.5,4.166057,261.58,253.52,82.7
1100106,Estadual,2023,3.9,0.932086,,4.182508,261.6,254.67,92.7
1100106,Estadual,2025,4.0,0.931862,,4.240344,264.15,256.07,92.9
1100106,Federal,2019,,0.873939,,,,,88.5
1100106,Federal,2023,,0.91181,,,,,90.9
1100106,Federal,2025,4.4,0.875313,,5.069323,297.6,279.44,87.3
1100106,Pública,2017,3.2,0.783333,,4.029858,254.94,250.9,78.6
1100106,Pública,2019,4.0,0.885372,3.4,4.540494,272.51,268.53,87.3
1100106,Pública,2021,3.4,0.827092,3.6,4.166057,261.58,253.52,82.7
1100106,Pública,2023,4.1,0.928341,,4.370329,269.69,259.42,92.4
1100106,Pública,2025,4.1,0.922615,,4.393094,270.31,260.38,91.9
1100114,Estadual,2017,3.7,0.893553,,4.192087,257.38,259.85,89.3
